ID,Name_English,Countries,Degree_endangerment,Number_speakers,Description_location,endangerment_score,Countries_list,Region,Population,Area_sq_mi,Pop_density,Coastline,Migration,Infant_mortality,GDP,Literacy,Phones,Arable,Crops,Other,Climate,Birthrate,Deathrate,Agriculture,Industry,Service
1074,Kumyk,Russian Federation,Vulnerable,458121.0,parts of the Republic of Daghestan,1,Russia,C.W. OF IND. STATES ,142893540.0,17075200.0,"8,4","0,22","1,02","15,39",8900.0,"99,6","280,6","7,33","0,11","92,56",,"9,95","14,65","0,054","0,371","0,575"
508,Yakut,Russian Federation,Vulnerable,456288.0,the Republic of Sakha (Yakutia),1,Russia,C.W. OF IND. STATES ,142893540.0,17075200.0,"8,4","0,22","1,02","15,39",8900.0,"99,6","280,6","7,33","0,11","92,56",,"9,95","14,65","0,054","0,371","0,575"
1801,Kaqchikel (Guatemala),Guatemala,Vulnerable,444954.0,"Among the many localities listed in Ethnologue: Acatenango in the municipality of Acatenango, Chimaltenango department; Sacatepéquez department; San Martín in municipality of Jilotepeque; Chimaltenango in municipality of Santa María de Jesús, Santo Domingo Xenacoj, Antigua, department of Sololá",1,Guatemala,LATIN AMER. & CARIB    ,12293545.0,108890.0,"112,9","0,37","-1,67","35,93",4100.0,"70,6","92,1","12,54","5,03","82,43",2,"29,88","5,2","0,227","0,188","0,585"
1165,Karbi,India,Vulnerable,420000.0,"Assam, Karbi Anglong, Kamrup and Nowgong districts; Meghalaya, Jaintia, and East Khasi Hills districts; Nagaland, around Dimapur.",1,India,ASIA (EX. NEAR EAST)         ,1095351995.0,3287590.0,"333,2","0,21","-0,07","56,29",2900.0,"59,5","45,4","54,4","2,74","42,86",2,"22,01","8,18","0,186","0,276","0,538"
347,Eastern Mari,Russian Federation,Definitely endangered,414211.0,"central and eastern parts of the Republic of Mariy-El and parts of Bashkortostan, Tatarstan, the Udmurt Republic, and Yekaterinburg, Perm’ and Orenburg provinces",2,Russia,C.W. OF IND. STATES ,142893540.0,17075200.0,"8,4","0,22","1,02","15,39",8900.0,"99,6","280,6","7,33","0,11","92,56",,"9,95","14,65","0,054","0,371","0,575"
1068,Ingush,Russian Federation,Vulnerable,405343.0,the Republic of Ingushetia and adjecent regions,1,Russia,C.W. OF IND. STATES ,142893540.0,17075200.0,"8,4","0,22","1,02","15,39",8900.0,"99,6","280,6","7,33","0,11","92,56",,"9,95","14,65","0,054","0,371","0,575"
350,Erzya,Russian Federation,Definitely endangered,400000.0,"the eastern parts but also small pockets in the northwest and south of the Republic of Mordovia; also several areas in Nizhniy Novgorod, Samara, Saratov and Orenburg provinces, Tatarstan and Bashkortostan",2,Russia,C.W. OF IND. STATES ,142893540.0,17075200.0,"8,4","0,22","1,02","15,39",8900.0,"99,6","280,6","7,33","0,11","92,56",,"9,95","14,65","0,054","0,371","0,575"
1212,Ho,India,Vulnerable,400000.0,"Jharkhand, Singhbhum Dt.; Orissa, Mayurbhanj and Koenjhar districts; West Bengal. ",1,India,ASIA (EX. NEAR EAST)         ,1095351995.0,3287590.0,"333,2","0,21","-0,07","56,29",2900.0,"59,5","45,4","54,4","2,74","42,86",2,"22,01","8,18","0,186","0,276","0,538"
2165,Judezmo (Israel),Israel,Severely endangered,400000.0,"resettled communities in Israel where the majority of the speakers live, and in the United States and several European countries; cf. Judezmo (Europe)",3,Israel,NEAR EAST                          ,6352117.0,20770.0,"305,8","1,31","0,68","7,03",19800.0,"95,4","462,3","16,39","4,17","79,44",3,"17,97","6,18","0,026","0,317","0,657"
534,Lalo,China,Vulnerable,400000.0,,1,China,ASIA (EX. NEAR EAST)         ,1313973713.0,9596960.0,"136,9","0,15","-0,4","24,18",5000.0,"90,9","266,7","15,4","1,25","83,35",1,"13,25","6,97","0,125","0,473","0,403"
